timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1744791619965,1219,Launch-1744791621186,200,OK,Launch 1-1,text,true,,2292,451,1,1,https://www.blazedemo.com/,1211,0,712
1744791621198,635,DestinationPage-1744791621830,200,OK,Destination 1-1,text,true,,1768,513,1,1,https://www.blazedemo.com/vacation.html,633,0,214
